number ,BodyLength,pH 
1,262.88,7.5
2,226.25,7.5
3,191.49,7.5
4,230.91,7.5
5,246.74,7.5
6,239.15,7.5
7,213.9,7.5
8,236.54,7.5
9,265.64,7.5
10,180.9,7.5
11,302.08,7.5
12,252.77,7.5
13,290.2,7.5
14,253.1,7.5
15,239.92,7.5
16,251.8,7.5
17,227.89,7.5
18,187.32,7.5
19,239.23,7.5
20,268.54,7.5
21,226.69,7.5
22,250.47,7.5
23,219.91,7.5
24,265.56,7.5
25,235.63,7.5
26,259.44,7.5
27,276.04,7.5
28,304.72,7.5
29,297.19,7.5
30,257.54,7.5
31,180.44,7.5
32,242.73,7.5
33,225.81,7.5
34,235.95,7.5
35,255.71,7.5
36,253.17,7.5
37,227.87,7.5
38,258.68,7.5
39,275.39,7.5
40,261.58,7.5
41,202.7,7.5
42,261.51,7.5
43,225.76,7.5
44,220.42,7.5
45,217.66,7.5
46,224.88,7.5
47,211.86,7.5
48,204.27,7.5
49,183.82,7.5
50,203.82,7.5
51,188.79,7.5
52,206.17,7.5
53,204.72,7.5
54,205.5,7.5
55,248.55,7.5
56,233.09,7.5
57,236.02,7.5
58,217.96,7.5
59,197.82,7.5
60,210.13,7.5
61,298.42,8
62,256.06,8
63,314.01,8
64,322.71,8
65,296.18,8
66,342.83,8
67,307.53,8
68,278.1,8
69,235.14,8
70,341.04,8
71,324.33,8
72,317.78,8
73,318.92,8
74,250.12,8
75,323.02,8
76,290.92,8
77,287.71,8
78,333.9,8
79,235.94,8
80,254.61,8
81,298.42,8
82,256.06,8
83,314.01,8
84,322.71,8
85,296.18,8
86,342.83,8
87,307.53,8
88,278.1,8
89,235.14,8
90,341.04,8
91,324.33,8
92,317.78,8
93,318.92,8
94,250.12,8
95,323.02,8
96,290.92,8
97,287.71,8
98,333.9,8
99,235.94,8
100,254.61,8
101,343.36,8
102,316.15,8
103,334.05,8
104,302.24,8
105,331.8,8
106,340.55,8
107,317.45,8
108,342.35,8
109,303.26,8
110,328.34,8
111,338.11,8
112,325.01,8
113,288.65,8
114,301.88,8
115,292.25,8
116,358.99,8
117,322.65,8
118,303.72,8
119,322.28,8
120,355.92,8
