lab,lab_x,lab_y
virginica,5.6,6.182196969696969
virginica,5.4,6.282196969696969
virginica,5.1,5.98219696969697
virginica,4.9,5.682196969696969
versicolor,4.5,6.282196969696969
virginica,5.1,5.88219696969697
virginica,5.8,7.282196969696969
virginica,4.8,6.282196969696969
setosa,1.4189814814814814,4.868484848484847
versicolor,4.5,5.682196969696969
virginica,5.6,6.38219696969697
versicolor,4.9,6.38219696969697
virginica,6.1,7.48219696969697
virginica,5.1,6.38219696969697
versicolor,4.1,5.782196969696969
versicolor,4.3,6.48219696969697
versicolor,4.7,6.782196969696969
setosa,1.3,4.48219696969697
virginica,5.1,5.88219696969697
setosa,1.5,5.182196969696969
virginica,5.5,6.48219696969697
setosa,0.9055555555555557,4.373977272727274
versicolor,4.1,5.682196969696969
setosa,2.1374999999999997,5.116439393939393
virginica,5.1,6.5821969696969695
