lab,lab_x,lab_y
virginica,5.6,6.154173895591465
virginica,5.4,6.254173895591465
virginica,5.1,5.954173895591466
virginica,4.9,5.654173895591465
versicolor,4.5,6.254173895591465
virginica,5.1,5.854173895591466
virginica,5.8,7.254173895591465
virginica,4.8,6.254173895591465
setosa,1.5,5.0541738955914655
versicolor,4.5397925835513355,5.800443413688424
virginica,5.6,6.354173895591466
versicolor,4.9,6.354173895591466
virginica,6.1,7.454173895591466
virginica,5.1,6.354173895591466
versicolor,4.1,5.754173895591465
versicolor,4.3,6.454173895591466
versicolor,4.7,6.754173895591465
setosa,1.3,4.454173895591466
virginica,5.1,5.854173895591466
setosa,1.5,5.154173895591465
virginica,5.5,6.454173895591466
setosa,1.1,4.354173895591466
versicolor,39.2865920052683,5.556660883526827
setosa,2.008392522522849,5.159591285150612
virginica,5.1,6.5541738955914655
