lab,lab_x,lab_y
setosa,1.4,5.272602739726027
setosa,1.4,5.072602739726028
setosa,1.3,4.872602739726027
setosa,1.5,4.772602739726027
setosa,1.4,5.1726027397260275
setosa,1.7,5.572602739726028
setosa,1.4,4.772602739726027
setosa,1.5,5.1726027397260275
setosa,1.4,4.572602739726028
setosa,1.5,5.072602739726028
setosa,1.5,5.572602739726028
setosa,1.6,4.972602739726028
setosa,1.4,4.972602739726028
setosa,1.1,4.472602739726028
setosa,1.2,5.972602739726028
setosa,1.5,5.872602739726027
setosa,1.3,5.572602739726028
setosa,1.4,5.272602739726027
setosa,1.7,5.872602739726027
setosa,1.5,5.272602739726027
setosa,1.7,5.572602739726028
setosa,1.5,5.272602739726027
setosa,1,4.772602739726027
setosa,1.7,5.272602739726027
setosa,1.9,4.972602739726028
setosa,1.6,5.1726027397260275
setosa,1.6,5.1726027397260275
setosa,1.5,5.372602739726027
setosa,1.4,5.372602739726027
setosa,1.6,4.872602739726027
setosa,1.6,4.972602739726028
setosa,1.5,5.572602739726028
setosa,1.5,5.372602739726027
setosa,1.4,5.6726027397260275
setosa,1.5,5.072602739726028
setosa,1.2,5.1726027397260275
setosa,1.3,5.6726027397260275
setosa,1.4,5.072602739726028
setosa,1.3,4.572602739726028
setosa,1.5,5.272602739726027
setosa,1.3,5.1726027397260275
setosa,1.3,4.6726027397260275
setosa,1.3,4.572602739726028
setosa,1.6,5.1726027397260275
setosa,1.9,5.272602739726027
setosa,1.4,4.972602739726028
setosa,1.6,5.272602739726027
setosa,1.4,4.772602739726027
setosa,1.5,5.472602739726028
setosa,1.4,5.1726027397260275
versicolor,4.7,7.1726027397260275
versicolor,4.5,6.572602739726028
versicolor,4.9,7.072602739726028
versicolor,4,5.6726027397260275
versicolor,4.6,6.6726027397260275
versicolor,4.5,5.872602739726027
versicolor,4.7,6.472602739726028
versicolor,3.3,5.072602739726028
versicolor,4.6,6.772602739726027
versicolor,3.9,5.372602739726027
versicolor,3.5,5.1726027397260275
versicolor,4.2,6.072602739726028
versicolor,4,6.1726027397260275
versicolor,4.7,6.272602739726027
versicolor,3.6,5.772602739726027
versicolor,4.4,6.872602739726027
versicolor,4.5,5.772602739726027
versicolor,4.1,5.972602739726028
versicolor,4.5,6.372602739726027
versicolor,3.9,5.772602739726027
versicolor,4.8,6.072602739726028
versicolor,4,6.272602739726027
versicolor,4.9,6.472602739726028
versicolor,4.7,6.272602739726027
versicolor,4.3,6.572602739726028
versicolor,4.4,6.772602739726027
versicolor,4.8,6.972602739726028
versicolor,5,6.872602739726027
versicolor,4.5,6.1726027397260275
versicolor,3.5,5.872602739726027
versicolor,3.8,5.6726027397260275
versicolor,3.7,5.6726027397260275
versicolor,3.9,5.972602739726028
versicolor,5.1,6.1726027397260275
versicolor,4.5,5.572602739726028
versicolor,4.5,6.1726027397260275
versicolor,4.7,6.872602739726027
versicolor,4.4,6.472602739726028
versicolor,4.1,5.772602739726027
versicolor,4,5.6726027397260275
versicolor,4.4,5.6726027397260275
versicolor,4.6,6.272602739726027
versicolor,4,5.972602739726028
versicolor,3.3,5.1726027397260275
versicolor,4.2,5.772602739726027
versicolor,4.2,5.872602739726027
versicolor,4.2,5.872602739726027
versicolor,4.3,6.372602739726027
versicolor,3,5.272602739726027
versicolor,4.1,5.872602739726027
virginica,6,6.472602739726028
virginica,5.1,5.972602739726028
virginica,5.9,7.272602739726027
virginica,5.6,6.472602739726028
virginica,5.8,6.6726027397260275
virginica,6.6,7.772602739726029
virginica,4.5,5.072602739726028
virginica,6.3,7.472602739726028
virginica,5.8,6.872602739726027
virginica,6.1,7.372602739726027
virginica,5.1,6.6726027397260275
virginica,5.3,6.572602739726028
virginica,5.5,6.972602739726028
virginica,5,5.872602739726027
virginica,5.1,5.972602739726028
virginica,5.3,6.572602739726028
virginica,5.5,6.6726027397260275
virginica,6.7,7.872602739726027
virginica,6.9,7.872602739726027
virginica,5,6.1726027397260275
virginica,5.7,7.072602739726028
virginica,4.9,5.772602739726027
virginica,6.7,7.872602739726027
virginica,4.9,6.472602739726028
virginica,5.7,6.872602739726027
virginica,6,7.372602739726027
virginica,4.8,6.372602739726027
virginica,4.9,6.272602739726027
virginica,5.6,6.572602739726028
virginica,5.8,7.372602739726027
virginica,6.1,7.572602739726026
virginica,6.4,8.072602739726026
virginica,5.6,6.572602739726028
virginica,5.1,6.472602739726028
virginica,5.6,6.272602739726027
virginica,6.1,7.872602739726027
virginica,5.6,6.472602739726028
virginica,5.5,6.572602739726028
virginica,4.8,6.1726027397260275
virginica,5.4,7.072602739726028
virginica,5.6,6.872602739726027
virginica,5.1,7.072602739726028
virginica,5.1,5.972602739726028
virginica,5.9,6.972602739726028
virginica,5.7,6.872602739726027
virginica,5.2,6.872602739726027
virginica,5,6.472602739726028
virginica,5.2,6.6726027397260275
virginica,5.4,6.372602739726027
virginica,5.1,6.072602739726028
