lab,lab_x,lab_y
virginica,5.808715596330275,5.734953271028036
virginica,5.4,6.335202492211838
virginica,5.164220183486238,6.075763239875389
virginica,4.996330275229358,5.424236760124611
versicolor,4.162844036697248,6.159439252336448
virginica,5.1,5.93520249221184
virginica,5.8,7.335202492211838
virginica,4.623394495412843,6.010716510903427
setosa,1.5963302752293578,4.78367601246106
versicolor,4.5,5.7352024922118385
virginica,5.856880733944954,6.408161993769472
versicolor,4.9,6.43520249221184
virginica,6.1,7.535202492211839
virginica,5.1,6.43520249221184
versicolor,4.1,5.835202492211838
versicolor,4.3,6.535202492211839
versicolor,4.7,6.835202492211838
setosa,1.3,4.535202492211839
virginica,5.1,5.93520249221184
setosa,1.5,5.2352024922118385
virginica,5.48394495412844,6.494641744548288
setosa,1.1,4.43520249221184
versicolor,4.08394495412844,5.370155763239875
setosa,1.9729357798165132,5.181121495327103
virginica,5.1,6.689283489096573
